Book Id,name,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID,price,layout,cover,excerpt,book-link,tweet,categories,tags
6443841,After America: Get Ready for Armageddon,Mark Steyn,"Steyn, Mark",,1596981008,9781596981003,0,4.14,Regnery Publishing,Hardcover,349,2011,2010,,2/28/2017,altright,altright (#126),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
6844066,The Political Testament Of Adolf Hitler: Recorded By Martin Bormann,Adolf Hitler,"Hitler, Adolf",,1442133597,9781442133594,0,3.92,,,,,1978,,2/28/2017,altright,altright (#125),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
10475421,Civilization: The West and the Rest,Niall Ferguson,"Ferguson, Niall",,1846142733,9781846142734,0,3.78,Allen Lane,Hardcover,402,2011,2011,,2/28/2017,altright,altright (#124),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
15876366,Sociobiological Perspectives on Human Development,Kevin B. MacDonald,"MacDonald, Kevin B.",,1461283388,9781461283386,0,2.67,Springer,Paperback,405,2011,1987,,2/28/2017,altright,altright (#123),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
22609035,The Undocumented Mark Steyn,Mark Steyn,"Steyn, Mark",,1621573184,9781621573180,0,4.27,Regnery Publishing,Hardcover,448,2014,2014,,2/28/2017,altright,altright (#122),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
22609334,Our Kids: The American Dream in Crisis,Robert D. Putnam,"Putnam, Robert D.",,1476769893,9781476769899,0,4.03,Simon & Schuster,Hardcover,386,2015,2015,,2/28/2017,altright,altright (#121),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
26085162,"""A Disgrace to the Profession""",Mark Steyn,"Steyn, Mark",Josh,0986398330,9780986398339,0,4.28,Stockade Books,Paperback,320,2015,2015,,2/28/2017,altright,altright (#120),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
330451,Civilisation,Kenneth Clark,"Clark, Kenneth",,0719522404,9780719522406,0,4.25,BBC Books / John Murray,Paperback,360,1980,1969,,2/28/2017,altright,altright (#119),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
586994,The Revolt of the Elites and the Betrayal of Democracy,Christopher Lasch,"Lasch, Christopher",,0393313719,9780393313710,0,3.89,W. W. Norton & Company,Paperback,288,1996,1994,,2/28/2017,altright,altright (#118),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
1181058,The Camp of the Saints,Jean Raspail,"Raspail, Jean",Norman R. Shapiro,1881780074,9781881780076,0,3.93,Social Contract Press,Paperback,316,1994,1973,,2/28/2017,altright,altright (#117),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
1270376,Suicide of the West,James Burnham,"Burnham, James",,087000056X,9780870000560,0,4.11,Random House Value Publishing,Hardcover,320,1970,1970,,2/28/2017,altright,altright (#116),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
151878,The Culture of Narcissism: American Life in an Age of Diminishing Expectations,Christopher Lasch,"Lasch, Christopher",,0393307387,9780393307382,0,3.94,W. W. Norton & Company,Paperback,249,1991,1978,,2/28/2017,altright,altright (#115),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
5788390,"The Art Instinct: Beauty, Pleasure, and Human Evolution",Denis Dutton,"Dutton, Denis",,1596914017,9781596914018,0,3.81,Bloomsbury Press,Hardcover,278,2008,2008,,2/28/2017,altright,altright (#114),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
6110216,Mad,Jonathan Bowden,"Bowden, Jonathan",,1872181007,9781872181004,0,4.29,Avant-Garde Publishing Corporation,Paperback,,,2009,,2/28/2017,altright,altright (#113),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
6110218,Apocalypse Tv: Philosophical Dialogues,Jonathan Bowden,"Bowden, Jonathan",,0955740207,9780955740206,0,3.75,TSTC,,233,2007,2007,,2/28/2017,altright,altright (#112),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
22242648,Western Civilization Bites Back,Jonathan Bowden,"Bowden, Jonathan",Greg Johnson,,,0,4.16,Counter-Currents Publishing,Kindle Edition,238,2014,2014,,2/28/2017,altright,altright (#111),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
23929479,Soumission,Michel Houellebecq,"Houellebecq, Michel",,2081354802,9782081354807,0,3.63,Flammarion,Paperback,320,2015,2015,,2/28/2017,altright,altright (#110),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
30321491,Waking Up from the American Dream,Gregory Hood,"Hood, Gregory",Kevin B. MacDonald,,,0,4,Counter-Currents Publishing,Kindle Edition,145,2016,,,2/28/2017,altright,altright (#109),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
70407,The Abolition of Britain: From Winston Churchill to Princess Diana,Peter Hitchens,"Hitchens, Peter",,1893554392,9781893554399,0,3.89,Encounter Books,Paperback,330,2002,1999,,2/28/2017,altright,altright (#108),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
6323955,Beauty,Roger Scruton,"Scruton, Roger",,019955952X,9780199559527,0,3.86,"Oxford University Press, USA",Hardcover,223,2009,2009,,2/28/2017,altright,altright (#107),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
6556675,The Broken Compass,Peter Hitchens,"Hitchens, Peter",,1847064051,9781847064059,0,3.64,Bloomsbury Academic,Hardcover,264,2009,2009,,2/28/2017,altright,altright (#106),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
7848348,The Rage Against God: How Atheism Led Me to Faith,Peter Hitchens,"Hitchens, Peter",,0310320313,9780310320319,0,3.7,Zondervan,Hardcover,224,2010,2009,,2/28/2017,altright,altright (#105),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
424268,Ride the Tiger: A Survival Manual for the Aristocrats of the Soul,Julius Evola,"Evola, Julius","Joscelyn Godwin, Constance Fontana",0892811250,9780892811250,0,4.14,Inner Traditions,Hardcover,256,2003,1961,,2/28/2017,altright,altright (#104),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
424270,The Hermetic Tradition: Symbols and Teachings of the Royal Art,Julius Evola,"Evola, Julius",E.E. Rehmus,0892814519,9780892814510,0,4.34,Inner Traditions,Paperback,240,1995,1931,,2/28/2017,altright,altright (#103),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
447996,March of the Titans: A History of the White Race,Arthur Kemp,"Kemp, Arthur",,0620251174,9780620251174,0,4.27,Ostara Publications,Hardcover,,2006,2006,,2/28/2017,altright,altright (#102),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
3503891,"Jihad: Islam's 1,300 Year War Against Western Civilisation",Arthur Kemp,"Kemp, Arthur",,1409205029,9781409205029,0,4.8,Lulu.com,Paperback,90,2010,2008,,2/28/2017,altright,altright (#101),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
5949547,The Immigration Invasion,Arthur Kemp,"Kemp, Arthur",,140924363X,9781409243632,0,5,Ostara Publications,softcover,141,2008,2008,,2/28/2017,altright,altright (#100),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
6051142,The Lie of Apartheid and other true stories from Southern Africa,Arthur Kemp,"Kemp, Arthur",,,9781409254218,0,4.33,Ostara Publications,softcover,157,2009,2009,,2/28/2017,altright,altright (#99),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
6129610,AWAKENING: The Rise of Western Civilization,Arthur Kemp,"Kemp, Arthur",,,9781409259534,0,4.71,Ostara Publications,Hardcover,285,2009,2009,,2/28/2017,altright,altright (#98),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
11019140,Folk and Nation: Underpinning the Ethnostate,Arthur Kemp,"Kemp, Arthur",Nick Griffin,9781447594,,0,4.11,Ostara Publications,Paperback,41,2011,2009,,2/28/2017,altright,altright (#97),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
12102878,Hitler: Beyond Evil and Tyranny,Russel H.S. Stolfi,"Stolfi, Russel H.S.",,1616144742,9781616144746,0,4.04,Prometheus Books,Hardcover,520,2011,2011,,2/28/2017,altright,altright (#96),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
10947020,Confessions of a Reluctant Hater,Greg   Johnson,"Johnson, Greg",,1935965085,9781935965084,0,3.81,Counter-Currents Publishing,Paperback,166,2011,2011,,2/28/2017,altright,altright (#95),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
15889835,The Myth of German Villainy,Benton L. Bradberry,"Bradberry, Benton L.",,147723182X,9781477231821,0,4.44,Authorhouse,Hardcover,460,2012,2012,,2/28/2017,altright,altright (#94),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
19010947,The Triumph of Reason - The Thinking Man's Guide to Adolf Hitler,Michael Walsh-McLaughlin,"Walsh-McLaughlin, Michael",,,,0,4.38,Black House Publishing Ltd,Kindle Edition,196,2012,2012,,2/28/2017,altright,altright (#93),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
15959925,Trevor Lynch's White Nationalist Guide to the Movies,Trevor Lynch,"Lynch, Trevor",Greg Johnson,1935965441,9781935965442,0,3.92,Counter-Currents Publishing,Paperback,202,2013,2012,,2/28/2017,altright,altright (#92),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
17453435,Nova Europa,Arthur Kemp,"Kemp, Arthur",,9781291263,,0,4.27,Ostara Publications,Paperback,84,2013,2013,,2/28/2017,altright,altright (#91),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
18654229,White Apocalypse / The Conscience of a Right-Winger,Kyle Bristow,"Bristow, Kyle",,1492784230,9781492784234,0,4,Createspace Independent Publishing Platform,Paperback,502,2013,2013,,2/28/2017,altright,altright (#90),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
18682659,Hitler's Revolution,Richard Tedor,"Tedor, Richard",,,9780988368200,0,4.34,Richard Tedor,Paperback,293,2013,2013,,2/28/2017,altright,altright (#89),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
19186867,Heroes of the Reich,Michael Walsh-McLaughlin,"Walsh-McLaughlin, Michael",,,,0,4,,Kindle Edition,241,2012,2012,,2/28/2017,altright,altright (#88),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
19233120,A National Socialist Life,George Rockwell,"Rockwell, George",,,,0,4.17,Invictus Books,Kindle Edition,101,2011,2011,,2/28/2017,altright,altright (#87),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
18010255,"Carl Schmitt Today: Terrorism, Just War, and the State of Emergency",Alain de Benoist,"Benoist, Alain de",,1907166394,9781907166396,0,3.79,Arktos Media Ltd,Paperback,110,2013,2007,,2/28/2017,altright,altright (#86),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
19725629,Who We Are,William Luther Pierce,"Pierce, William Luther",,1291388575,9781291388572,0,4.57,Lulu.com,Paperback,344,2013,2013,,2/28/2017,altright,altright (#85),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
19842363,March of the Titans: The Complete History of the White Race: Volume I: The Rise of Europe: 1,Arthur Kemp,"Kemp, Arthur",,1480242292,9781480242296,0,4.56,CreateSpace Independent Publishing Platform,Paperback,350,2013,2013,,2/28/2017,altright,altright (#84),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
